id,lab_country,lab_inst,lab_name,lab_adress,lab_city,latitude,longitude,lab_type,lab_person_name,lab_person_email,out_gas__nh3,out_gas__c6h6,out_gas__co2,out_gas__co,out_gas__no,out_gas__no2,out_gas__o3,out_gas__so2,out_gas__acryl,out_gas__aprsolv,out_gas__aram,out_gas__asb,out_gas__benzoth,out_gas__bis,out_gas__bc,out_gas__chlorpar,out_gas__cot,out_gas__dechlor,out_gas__disbyprod,out_gas__diisocy,out_gas__dioxfur,out_gas__flameret,out_gas__form,out_gas__halan,out_gas__lys,out_gas__mdi_tdi,out_gas__hg,out_gas__metals,out_gas__musks,out_gas__mycotox,out_gas__nitrosam,out_gas__odour,out_gas__oilmist,out_gas__ocec,out_gas__opes,out_gas__parab,out_gas__pfas,out_gas__pest_glyph,out_gas__pest_neonicot,out_gas__pest_orgchlor,out_gas__pest_orgphos,out_gas__pest_phenylpyr,out_gas__pest_pyreth,out_gas__phenols,out_gas__phthalates,out_gas__plasticmon,out_gas__pcbs,out_gas__pahs,out_gas__rn,out_gas__si,out_gas__siloxanes,out_gas__sugars_tetrols,out_gas__uvfilters_benzoph,out_gas__vocs,out_gas__volflcl,out_gas__wsi,out_gas__other_chem,out_part__as10,out_part__as25,out_part__benzoapyrene10,out_part__cd10,out_part__cd25,out_part__ni10,out_part__ni25,out_part__pm10,out_part__pm25,out_part__part_total,out_part__pb10,out_part__pb25,out_part__ufp,out_part__acryl,out_part__aprsolv,out_part__aram,out_part__asb,out_part__benzoth,out_part__bis,out_part__bc,out_part__chlorpar,out_part__cot,out_part__dechlor,out_part__disbyprod,out_part__diisocy,out_part__dioxfur,out_part__flameret,out_part__form,out_part__halan,out_part__lys,out_part__mdi_tdi,out_part__hg,out_part__metals,out_part__musks,out_part__mycotox,out_part__nitrosam,out_part__odour,out_part__oilmist,out_part__ocec,out_part__opes,out_part__parab,out_part__pfas,out_part__pest_glyph,out_part__pest_neonicot,out_part__pest_orgchlor,out_part__pest_orgphos,out_part__pest_phenylpyr,out_part__pest_pyreth,out_part__phenols,out_part__phthalates,out_part__plasticmon,out_part__pcbs,out_part__pahs,out_part__rn,out_part__si,out_part__siloxanes,out_part__sugars_tetrols,out_part__uvfilters_benzoph,out_part__vocs,out_part__volflcl,out_part__wsi,out_part__other_chem,in_gas__nh3,in_gas__c6h6,in_gas__co2,in_gas__co,in_gas__no,in_gas__no2,in_gas__o3,in_gas__so2,in_gas__acryl,in_gas__aprsolv,in_gas__aram,in_gas__asb,in_gas__benzoth,in_gas__bis,in_gas__bc,in_gas__chlorpar,in_gas__cot,in_gas__dechlor,in_gas__disbyprod,in_gas__diisocy,in_gas__dioxfur,in_gas__flameret,in_gas__form,in_gas__halan,in_gas__lys,in_gas__mdi_tdi,in_gas__hg,in_gas__metals,in_gas__musks,in_gas__mycotox,in_gas__nitrosam,in_gas__odour,in_gas__oilmist,in_gas__ocec,in_gas__opes,in_gas__parab,in_gas__pfas,in_gas__pest_glyph,in_gas__pest_neonicot,in_gas__pest_orgchlor,in_gas__pest_orgphos,in_gas__pest_phenylpyr,in_gas__pest_pyreth,in_gas__phenols,in_gas__phthalates,in_gas__plasticmon,in_gas__pcbs,in_gas__pahs,in_gas__rn,in_gas__si,in_gas__siloxanes,in_gas__sugars_tetrols,in_gas__uvfilters_benzoph,in_gas__vocs,in_gas__volflcl,in_gas__wsi,in_gas__other_chem,in_part__as10,in_part__as25,in_part__benzoapyrene10,in_part__cd10,in_part__cd25,in_part__ni10,in_part__ni25,in_part__pm10,in_part__pm25,in_part__part_total,in_part__pb10,in_part__pb25,in_part__ufp,in_part__acryl,in_part__aprsolv,in_part__aram,in_part__asb,in_part__benzoth,in_part__bis,in_part__bc,in_part__chlorpar,in_part__cot,in_part__dechlor,in_part__disbyprod,in_part__diisocy,in_part__dioxfur,in_part__flameret,in_part__form,in_part__halan,in_part__lys,in_part__mdi_tdi,in_part__hg,in_part__metals,in_part__musks,in_part__mycotox,in_part__nitrosam,in_part__odour,in_part__oilmist,in_part__ocec,in_part__opes,in_part__parab,in_part__pfas,in_part__pest_glyph,in_part__pest_neonicot,in_part__pest_orgchlor,in_part__pest_orgphos,in_part__pest_phenylpyr,in_part__pest_pyreth,in_part__phenols,in_part__phthalates,in_part__plasticmon,in_part__pcbs,in_part__pahs,in_part__rn,in_part__si,in_part__siloxanes,in_part__sugars_tetrols,in_part__uvfilters_benzoph,in_part__vocs,in_part__volflcl,in_part__wsi,in_part__other_chem
82,Spain,University of Extremadura,"Research group ""Environmental Chemical Analysis"", Department of Analytical Chemistry and Department of Biochemistry, Molecular Biology and Genetics","Av. de Elvas, s/n 06006 Badajoz",Badajoz,38.88472,-7.00919,External laboratory,Francisco de Asís Iñesta Vaquera,finestavaquera@unex.es,,,,,,x,x,,,,,,,,,,,,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,x,x,,,,,,,,x,x,x,x,x,x,x,x,x,x,,x,x,,,,,,,,,,,,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,x,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,
85,Cyprus,The Cyprus Institute,"Environmental Chemistry Laboratory, Climate and Atmosphere Research Center","20, Konstantinou Kavafi Str., 2121 Aglantzia",Aglantzia,35.1416407857748,33.3800132114933,External laboratory,Minas Iakovides,m.iakovides@cyi.ac.cy,,,x,x,x,x,x,x,,,,,,,,,,,,,,x,,,,,,,,,,,,,x,,,,,x,x,,,,x,,x,x,,,x,,,x,,,x,x,x,x,x,x,x,x,x,x,x,x,x,,,,,,,,x,,,,,,,x,,,,,,x,,,,,,x,x,,,,,x,x,,,,x,,x,x,,,x,,,x,,x,x,,,x,x,x,x,x,x,,,,,,,,,,,,,,x,,,,,,,,,,,,,x,,,,,x,x,,,,,,x,x,,,x,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,x,,,,,,,,x,,,,,,,x,,,,,,x,,,,,,x,x,,,,,x,x,,,,x,,x,x,,,x,,,,,x,x
91,Sweden,Region Östergötland,Occupational and Environmental Medicine,Universitetssjukhuset 581 85 Linköping,Linköping,58.40034,15.62005,External laboratory,Ivan Kozyatnyk,ivan.kozyatnyk@regionostergotland.se,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,,x,x,x,x,x,x,x,x,x,,,,,,x,x,,,,,,x,,,x,,,,,x,,,,x,,,,,x,,,x,,,,x,,,,,,,,,,x,,,x
92,Austria,Environment Agency Austria,"Zero Pollution & Labor, Team Organic Analysis, Team Inorganic Analysis, Spectroscopy & GMO, Team Pollutants","Spittelauer Länder 5, 1090 Wien",Wien,48.2357456824991,16.3582312315854,PARC member,Laboratory support,Pruefstelle@umweltbundesamt.at,x,x,x,x,x,x,x,x,,,,,,,,x,,x,,,x,x,,,,,x,,,,,,,,,,x,x,,x,,,,,,,x,x,,,,,,x,,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,,,,,x,x,,x,,,x,x,,,,,x,x,,,,,,x,,,x,,,x,x,,x,x,x,,x,x,,,x,,,,,x,x,,,,,,,,,,,,,,,,x,,x,,,x,x,,,,,,,,,,,,,,,,,,x,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,x,,,x,x,,,,,,,,,,,,,,,,,,x,,,,,,,x,x,,,,,,,,,
93,France,School of Advanced Studies in Public Health,Environment and Health Research Study Laboratory ,15 Avenue du Professeur Léon-Bernard - CS74312 - 35043 Rennes cedex,Rennes,48.11624,-1.70208,PARC member,Vincent Bessonneau; Fleur Chaumet; Gaëlle Raffy,vincent.bessonneau@ehesp.fr; fleur.chaumet@ehesp.fr; gaelle.raffy@ehesp.fr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,x,,,,,,,x,,,,,,x,,,,,x,x,,x,,x,,x,x,,,,,,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,x,,,,,,x,,,,,x,x,,x,,x,,x,x,,,,,,,,,
94,Croatia,Institute for Medical Research and Occupational Health,Division of Environmental Hygiene,"Ksaverska cesta 2, 10000 Zagreb",Zagreb,45.8349892025886,15.9783739458422,PARC member,Gordana Pehnec,gpehnec@imi.hr,x,x,,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,x,,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,,,,x,,,x,,,,,,,,,,,,,x,,,,,,x,,,,,,x,,,,,,,x,x,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,x,,,,x,x,x,x,x,x,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,
95,France,ToxiLabo -Toxicology and Biotoxicology Laboratory,ToxiLabo -Toxicology and Biotoxicology Laboratory,Rue Pierre Adolphe Bobiere - 44300 Nantes,Nantes,47.26482,-1.56755,External laboratory,Jean Roussau,jean.rousseau@toxilabo.fr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,,,x,x,,x,x,x,x,,,x,x,,,,,x,,,x,x,,x,x,x,,,,,x,x,,,x,,,,,,,x,x,,,x,,,x,,,x,,x,,x,x,x,x,x,x,x,x,x,x,x,x,,x,,,,,x,x,,,,,x,,,,,,x,x,x,,,,,x,x,,,x,,,,,,,,x,,,x,,,x,,,,,,
96,Belgium,KU Leuven,"Laboratory for Occupational and Environmental Hygiene, Environment and Health, Department of Public Health and Primary Care","Herestraat 49, box 952, B-3000 Leuven",Leuven,50.8782500777108,4.6689958458506,PARC member,Katrien Poels; Jeroen Vanoirbeek,katrien.poels@kuleuven.be,,x,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,x,,,,,,,,,,,,,x,,,,,,,,,,,,,,,x,,,,,,x,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,x,,,,,,,,x,,,,,,,,,x,,,,x,,,,,,,,,,,,,,,,,,,,,x,,,,x,,,,,,x,,,,,,,,,,,,,x,,,,,,,,,,,,,,,x,,,,,,x,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,x
100,Greece,Aristotle University of Thessaloniki,"Environmental Engineering Laboratory, Department of Chemical Engineering","University Campus, Bldg. D, Rm 201 54124 Thessaloniki",Thessaloniki,40.62858,22.95818,PARC member,Marianthi Kermenidou,kermenidoumarianthi@hotmail.com,,x,,x,x,x,x,x,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,x,,x,x,,,,,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,x,,,,,,,x,,,,,,,x,,,,,,x,,,,,,x,,,,,,x,x,,,,x,,x,x,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,x,,,,,,,x,,,,,,,x,,,,,,x,,,,,,x,,,,,,x,x,,,,x,,x,x,,,,,,,,x,
101,Luxembourg,National Health Laboratory,"Environmental Hygiene and Human Biological Monitoring Unit, Health Protection Department","1 Rue Louis Rech, L-3555 Dudelange",Dudelange,49.49889,6.08587,PARC member,Radu Duca,radu.duca@lns.etat.lu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,x,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,x,,,,,,,,,,,,,,,,,,,x,,,,,,,,x,,,,,,x,,,,,,,x,,,,,,,,,,x,,x,x,,,,,,,,,
102,Spain,Government of Aragon,"Pirenarium Laboratory, Department of Environment and Tourism","Espacio Pirenarium, Av. del Ejército, 27, 22600 Sabiñánigo, Huesca",Sabiñánigo,42.50680,-0.35741,External laboratory,Elena Cano Lázaro,suelos@aragon.es,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,x,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,Slovakia,Regional Authority of Public Health,Department of Materialization of Living Conditions Factors,Cesta k nemocnici 1,Banská Bystrica,48.74207,19.16277,PARC member,Daniela Borošová,borosova@vzbb.sk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,x,,,,,,,,x,,,x,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,Portugal,National Institute of Health Dr. Ricardo Jorge,Environmental Health Department - Air and Occupational Health Unit,"Av. Padre Cruz, 1649-016 Lisboa",Lisbon,38.76714,-9.16521,PARC member,Ana Nogueira,ana.nogueira@insa.min-saude.pt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,x,,x,,,,x,,,,,,,x,x,,,x,x,,,,x,,,,,,,,,,,,,,,,x,,,,,,,,,,x,,x,x,,,,x,x,x,x,x,x,x,x,x,,,,,x,,,,,,,x,x,,,x,x,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,x,,x,x
110,Portugal,Portuguese Environment Agency,National Reference Laboratory,"Rua da Murgueira 9, Zambujal - Alfragide",Zambujal,38.73841,-9.20632,External laboratory,Susana Casimiro,susana.casimiro@apambiente.pt,,x,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,x,x,,x,,x,x,,x,,,,,,,,,x,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
