Category,Project ID,Yx,Project start (in PARC Month),Project end (in PARC Month),Short Title,Project Abbreviation,Manual Tags,NGRA,AOP,IATA,NAM,AI,Environment,Biodiversity,Human health,Human biomonitoring,Workers,Monitoring methods,Non-targeted Screening,Suspect screening,FAIR Data,Risk Assessment,Exposure,PPP,Mixtures,Food,Emerging chemicals,BPA,Health Effects,Carcinogenicity,Endocrine,Genotoxicity,Neurotoxicity,Immunotoxicity,Sensitisation,Case Study,Harmonisation,Prioritisation,SSbD,Toolbox
5,P5.3.1.a,Y1,1,36,Systems toxicology for assessing health effects,P5.3.1.a_Y1_SystemsToxicology_UL-LACDR,NAMs; NGRA; Human health; Endpoint; Genotoxicity; AOPs,V,V,,V,,,,V,,,,,,,,,,,,,,V,,,V,,,,,,,,
5,P5.3.2.a,Y1,1,36,AOP Development,P5.3.2.a_Y1_AOPDevelopment_Inserm,NGRA; Human health; Endpoint; Endocrine; Immunotoxicity; Neurotoxicity; Carcinogenicity; AOPs,V,V,,,,,,V,,,,,,,,,,,,,,V,V,V,,V,V,,,,,,
5,P6.1.1.a,Y1,1,36,Harmonized workflow for human relevance assessment of IATA,P6.1.1.a_Y1_HumanRelevance_RIVM,NAMs; NGRA; Human health; IATA; AOPs,V,V,V,V,,,,V,,,,,,,,,,,,,,,,,,,,,,,,,
5,P6.1.1.b,Y1,1,36,Development of IATA to assess endocrine disruption,P6.1.1.b_Y1_IATA-ED_UAntwerpen,NAMs; NGRA; Human health; IATA; Endpoint; Endocrine; Risk assessment; AOPs,V,V,V,V,,,,V,,,,,,,V,,,,,,,V,,V,,,,,,,,,
5,P6.1.1.c,Y1,1,36,Development of IATA to assess genotoxicity,P6.1.1.c_Y1_IATA_GENTOX_Sciensano,NAMs; NGRA; Human health; IATA; Endpoint; Genotoxicity; AOPs,V,V,V,V,,,,V,,,,,,,,,,,,,,V,,,V,,,,,,,,
5,P6.2.3.a,Y1,1,48,Mixture RA,P6.2.3.a_Y1_RealLifeMixtures_RIVM,Exposure; Human biomonitoring; NAMs; NGRA; Human health; Mixtures; Endpoint; Risk assessment; AOPs,V,V,,V,,,,V,V,,,,,,V,V,,V,,,,V,,,,,,,,,,,
5,P6.4.1.a,Y1,1,36,Optimizing regulatory RA and management of chemical mixtures,P6.4.1.a_Y1_OPREMIXCS1_BRUNEL_UGot,NGRA; Mixtures; Toolbox,V,,,,,,,V,,,,,,,,,,V,,,,,,,,,,,,,,,V
5,P6.3.1.a,Y1,1,48,Methods for ‘one substance one assessment’ approach,P6.3.1.a_Y1_SubstanceRA_SU - CS12_MethodOSOA_SU,SSbD; Harmonisation; Risk assessment; Case study,,,,,,,,,,,,,,,V,,,,,,,,,,,,,,V,V,,V,
5,P6.3.1.a,Y1,1,48,Regulation of plastic additives,P6.3.1.a_Y1_SubstanceRA_SU - CS13_PlasticizersRA_UCL,SSbD; Harmonisation; Risk assessment; Case study,,,,,,,,,,,,,,,V,,,,,,,,,,,,,,V,V,,V,
5,P6.3.1.a,Y1,1,48,Substances with biocidal properties,P6.3.1.a_Y1_SubstanceRA_SU - CS14_BiocidesRA_SU,SSbD; Harmonisation; Risk assessment; Case study,,,,,,,,,,,,,,,V,,,,,,,,,,,,,,V,V,,V,
5,P6.4.1.b,Y1,1,36,Unknown mixtures in RA through monitoring data and NAMs ,P6.4.1.b_Y1_MONAMMIXCS2_UFZ,NAMs; NGRA; Human health; Environment; Mixtures; Risk assessment,V,,,V,,V,,V,,,,,,,V,,,V,,,,,,,,,,,,,,,
5,P6.3.1.b,Y1,1,48,Skin sensitisation,P6.3.1.b_Y1_EffectRA_BPI - CS10_ED-Cosmetics_VUB,NAMs; NGRA; Human health; Endpoint; Endocrine; Risk assessment; Case study,V,,,V,,,,V,,,,,,,V,,,,,,,V,,V,,,,,V,,,,
5,P6.3.1.b,Y1,1,48,Cosmetic ingredients with endocrine-disrupting (ED) concern,P6.3.1.b_Y1_EffectRA_BPI - CS11_GenotoxCarc_ISS,NAMs; NGRA; Human health; Endpoint; Risk assessment; Genotoxicity; Carcinogenicity; Case study,V,,,V,,,,V,,,,,,,V,,,,,,,V,V,,V,,,,V,,,,
5,P6.3.1.b,Y1,1,48,Genotoxicity and carcinogenicity assessment across legislations,P6.3.1.b_Y1_EffectRA_BPI - CS15_DNT_SU,NAMs; NGRA; Human health; Endpoint; Risk assessment; Neurotoxicity; Case study,V,,,V,,,,V,,,,,,,V,,,,,,,V,,,,V,,,V,,,,
5,P6.3.1.b,Y1,1,48,Guideline-compliant developmental neurotoxicity studies,P6.3.1.b_Y1_EffectRA_BPI - CS17_ED-in vitro_BPI,NAMs; NGRA; Human health; Endpoint; Endocrine; Risk assessment; Case study,V,,,V,,,,V,,,,,,,V,,,,,,,V,,V,,,,,V,,,,
5,P6.3.1.b,Y1,1,48,Non-guideline in vitro studies for ED assessments,P6.3.1.b_Y1_EffectRA_BPI - CS18_ED-classes_BPI,NAMs; NGRA; Human health; Endpoint; Endocrine; Risk assessment; Case study,V,,,V,,,,V,,,,,,,V,,,,,,,V,,V,,,,,V,,,,
5,P6.3.1.b,Y1,1,48,New hazard classes for endocrine disruption,P6.3.1.b_Y1_EffectRA_BPI - CS9_SKINSENSIRISK_REGIONH,NAMs; NGRA; Human health; Endpoint; Risk assessment; Sensitisation; Case study,V,,,V,,,,V,,,,,,,V,,,,,,,V,,,,,,V,V,,,,
5,P6.4.2.b,Y1,1,36,NGRA applied in practice: tools and guideline,P6.4.2.b_Y1_NGRApractice_VKM_NIPH,NAMs; NGRA; Human health; Risk assessment; Toolbox,V,,,V,,,,V,,,,,,,V,,,,,,,,,,,,,,,,,,V
5,P6.3.2.a,Y1,1,48,Comparative analysis of risk-based decision benchmarks ,P6.3.2.a_Y1_ToolsRA_SU - CS1_CARB_SYKE,Exposure; Workers; SSbD; Human health; Environment; Risk assessment; Toolbox; Monitoring methods; Case study,,,,,,V,,V,,V,V,,,,V,V,,,,,,,,,,,,,V,,,V,V
5,P6.3.2.a,Y1,1,48,Evaluating the effectiveness of risk assessment for reducing risk,P6.3.2.a_Y1_ToolsRA_SU - CS16_UncertaintyRA_ULUND,Exposure; Workers; SSbD; Human health; Environment; Risk assessment; Toolbox; Monitoring methods; Case study,,,,,,V,,V,,V,V,,,,V,V,,,,,,,,,,,,,V,,,V,V
5,P6.3.2.a,Y1,1,48,Regulatory information in workplace chemical risk assessment,P6.3.2.a_Y1_ToolsRA_SU - CS19_DataGapFilling_DTU,Exposure; Workers; SSbD; Human health; Environment; Mixtures; Risk assessment; Toolbox; Monitoring methods; Case study,,,,,,V,,V,,V,V,,,,V,V,,V,,,,,,,,,,,V,,,V,V
5,P6.3.2.a,Y1,1,48,Secondary poisoning under current chemical regulations ,P6.3.2.a_Y1_ToolsRA_SU - CS2_RiskReduction_SU,Exposure; Workers; SSbD; Human health; Environment; Risk assessment; Toolbox; Monitoring methods; Case study,,,,,,V,,V,,V,V,,,,V,V,,,,,,,,,,,,,V,,,V,V
5,P6.3.2.a,Y1,1,48,Regulatory approach to assess the risk of pesticides ,P6.3.2.a_Y1_ToolsRA_SU - CS3_WorkplaceRA_TTL,Exposure; Workers; SSbD; Human health; Environment; Risk assessment; Toolbox; Monitoring methods; Case study,,,,,,V,,V,,V,V,,,,V,V,,,,,,,,,,,,,V,,,V,V
5,P6.3.2.a,Y1,1,48,Occupational exposures to reproductive and developmental toxicants,P6.3.2.a_Y1_ToolsRA_SU - CS4_SecPoisoning_INERIS,Exposure; Workers; SSbD; Human health; Environment; Risk assessment; Toolbox; Monitoring methods; Case study,,,,,,V,,V,,V,V,,,,V,V,,,,,,,,,,,,,V,,,V,V
5,P6.3.2.a,Y1,1,48,Quantitative expressions of uncertainty in assessment,P6.3.2.a_Y1_ToolsRA_SU - CS7_REGPREP_EAWAG,Exposure; Workers; SSbD; Human health; Environment; Risk assessment; Toolbox; Monitoring methods; Case study,,,,,,V,,V,,V,V,,,,V,V,,,,,,,,,,,,,V,,,V,V
5,P6.3.2.a,Y1,1,48,Data gap filling approaches across EU regulations,P6.3.2.a_Y1_ToolsRA_SU - CS8_OccupReproDev_KI,Exposure; Workers; SSbD; Human health; Environment; Risk assessment; Toolbox; Monitoring methods; Case study,,,,,,V,,V,,V,V,,,,V,V,,,,,,,,,,,,,V,,,V,V
5,P6.4.2.c,Y1,1,36,NAMs based on AI and ML approaches ,P6.4.2.c_Y1_NAMAM_UT,NAMs; NGRA; AI; Risk assessment,V,,,V,V,,,V,,,,,,,V,,,,,,,,,,,,,,,,,,
6,P5.3.4.a,Y1,1,36,PBK models and quantitative systems toxicology ,P5.3.4.a_Y1_PBK_Kinetics_Fraunhofer,Exposure; NAMs; NGRA; Human health,V,,,V,,,,V,,,,,,,,V,,,,,,,,,,,,,,,,,
6,P6.1.1.d,Y1,1,36,Development of IATA to assess specific target organ toxicity,P6.1.1.d_Y1_IATA_STOT_UL-LACDR,NAMs; NGRA; Human health; IATA; Endpoint; AOPs,V,V,V,V,,,,V,,,,,,,,V,,,,,,V,,,,,,,,,,,
6,P6.2.1.a,Y1,1,36,Development of source-to-dose modelling for general population HBM,P6.2.1.a_Y1_SourcetoDose_VITO,Exposure; NAMs; NGRA; Human health; Environment,V,,,V,,V,,V,,,,,,,,V,,,,,,,,,,,,,,,,,
6,P6.2.1.b,Y1,1,48,Development of aggregated occupational and general exposure assessment,P6.2.1.b_Y1_Aggregate_Anses,Exposure; Workers; Human health; Environment; Mixtures; Risk assessment,,,,,,V,,V,,V,,,,,V,V,,V,,,,,,,,,,,,,,,
6,P6.2.2.a,Y1,1,48,Refinement and development of PBPK models for human RA,P6.2.2.a_Y1_PBPK_INERIS_AUTH,Exposure; NAMs; NGRA; Human health,V,,,V,,,,V,,,,,,,,V,,,,,,,,,,,,,,,,,
6,P7.3.3.a,Y1,1,60,Ontology-based data integration,P7.3.3.a_Y1_ALT-IST_IISPV,NGRA; AI,V,,,,V,,,V,,,,,,,,,,,,,,,,,,,,,,,,,
7,P6.3.1.a,Y1,1,48,Review of substance-specific RA,P6.3.1.a_Y1_SubstanceRA_SU,SSbD; Harmonisation; Risk assessment,,,,,,,,V,,,,,,,V,,,,,,,,,,,,,,,V,,V,
7,P6.3.1.b,Y1,1,48,Review of effect-specific RA,P6.3.1.b_Y1_EffectRA_BPI,NAMs; NGRA; Human health; Endpoint; Endocrine; Risk assessment; Genotoxicity; Neurotoxicity; Carcinogenicity; Sensitisation,V,,,V,,,,V,,,,,,,V,,,,,,,V,V,V,V,V,,V,,,,,
7,P6.3.2.a,Y1,1,48,"Review of tools, criteria, and methods used in RA",P6.3.2.a_Y1_ToolsRA_SU,Exposure; Workers; SSbD; Human health; Environment; Risk assessment; Toolbox; Monitoring methods,,,,,,V,,V,,V,V,,,,V,V,,,,,,,,,,,,,,,,V,V
